threshold,subset,num_samples,Dice,IoU,Precision,Recall,F2,mean_pred_area,mean_gt_area,area_ratio,area_diff,mean_pred_area_per_image,mean_gt_area_per_image
0.30,overall,1000,0.8416515674272299,0.7265961983113017,0.763811875533457,0.937156750075946,0.8964666525881196,0.18889108276367186,0.15395210266113282,1.2269469999378568,0.03493898010253904,0.18889108276367186,0.15395210266113282
0.30,small,200,0.6592788341438868,0.4917344865835027,0.5106682319015466,0.9298872029827828,0.7987455818488587,0.05894630432128906,0.03237167358398438,1.8209217993979236,0.026574630737304684,0.05894630432128906,0.03237167358398438
0.30,medium,423,0.8089416941442088,0.6791789202653465,0.7011660146815957,0.9558673104838408,0.8911262891750263,0.1307668483003657,0.09592259183843085,1.363253767038403,0.03484425646193484,0.1307668483003657,0.09592259183843085
0.30,large,377,0.8699314258453338,0.7698041036988179,0.8167696594934615,0.93049535088895,0.9052852589516175,0.32304362087097976,0.28356103871798327,1.1392383486078304,0.03948258215299649,0.32304362087097976,0.28356103871798327
0.50,overall,1000,0.8518715783258127,0.7419654127920845,0.7883162161125198,0.9265734698924268,0.8951738182822045,0.1809526824951172,0.15395210266113282,1.1753829120449675,0.02700057983398438,0.1809526824951172,0.15395210266113282
0.50,small,200,0.6811781986046296,0.5165051092451746,0.5414467155354362,0.9181172843870659,0.8059776907386627,0.05489181518554687,0.03237167358398438,1.6956737836367628,0.022520141601562495,0.05489181518554687,0.03237167358398438
0.50,medium,423,0.8226706224861616,0.6987599546894789,0.727236074552474,0.9469362275021249,0.8929817464028479,0.12490108841699911,0.09592259183843085,1.3021027997903847,0.028978496578568255,0.12490108841699911,0.09592259183843085
0.50,large,377,0.877342840248599,0.7814877699999493,0.8390010476799226,0.9193568393095997,0.90207744579996,0.31071925479474055,0.28356103871798327,1.095775517122479,0.02715821607675728,0.31071925479474055,0.28356103871798327
0.70,overall,1000,0.8625649349263917,0.7583421343446727,0.8185413649677549,0.9115931018727071,0.8913278813297979,0.171453369140625,0.15395210266113282,1.1136798721172119,0.017501266479492184,0.171453369140625,0.15395210266113282
0.70,small,200,0.7082866508600532,0.5483311381210477,0.582380344093802,0.9036488161733882,0.8138564899679213,0.05022941589355469,0.03237167358398438,1.5516466965099482,0.01785774230957031,0.05022941589355469,0.03237167358398438
0.70,medium,423,0.8393687732881768,0.7232002327442003,0.7616033432089543,0.9348210323638472,0.894148336043968,0.11773905291906767,0.09592259183843085,1.2274380663421098,0.021816461080636812,0.11773905291906767,0.09592259183843085
0.70,large,377,0.883823599860168,0.7918314701416772,0.8652078985834293,0.903257981807783,0.895382561348366,0.2960314763319587,0.28356103871798327,1.043977928810589,0.012470437613975427,0.2960314763319587,0.28356103871798327
