rank,filename,size_group,mask_area_fraction_original,Dice,IoU,Precision,Recall,F2,pred_area,gt_area,area_ratio,image_path,mask_path,visual_path
1,cju2sszfq3uye0878sucelzk2.jpg,large,0.616833508014679,2.474328838301998e-13,2.474328838301998e-13,1.0,2.474328838301998e-13,2.5003092848538596e-09,0.0,0.6166839599609375,0.0,E:\Thesis_Dataset\kvasir-seg\Kvasir-SEG\images\cju2sszfq3uye0878sucelzk2.jpg,E:\Thesis_Dataset\kvasir-seg\Kvasir-SEG\masks\cju2sszfq3uye0878sucelzk2.jpg,E:\Thesis_Code\outputs\kvasir_m2b_seed1_seqval_constrained\kvasir_visuals\01_cju2sszfq3uye0878sucelzk2.png
2,cju1dg44i4z3w0801nyz4p6zf.jpg,small,0.008840410970151424,1.7847581652654208e-12,1.7847581652654208e-12,1.986491855379447e-12,1.757469244257338e-11,0.9974544304750093,0.076812744140625,0.0086822509765625,8.847089985889466,E:\Thesis_Dataset\kvasir-seg\Kvasir-SEG\images\cju1dg44i4z3w0801nyz4p6zf.jpg,E:\Thesis_Dataset\kvasir-seg\Kvasir-SEG\masks\cju1dg44i4z3w0801nyz4p6zf.jpg,E:\Thesis_Code\outputs\kvasir_m2b_seed1_seqval_constrained\kvasir_visuals\02_cju1dg44i4z3w0801nyz4p6zf.png
3,cju5x00l6m5j608503k78ptee.jpg,large,0.39051270484924316,0.04205375234199562,0.02147850197249913,0.9945750452080547,0.021481018591227353,0.026707069609395735,0.0084381103515625,0.39068603515625,0.021598187230331668,E:\Thesis_Dataset\kvasir-seg\Kvasir-SEG\images\cju5x00l6m5j608503k78ptee.jpg,E:\Thesis_Dataset\kvasir-seg\Kvasir-SEG\masks\cju5x00l6m5j608503k78ptee.jpg,E:\Thesis_Code\outputs\kvasir_m2b_seed1_seqval_constrained\kvasir_visuals\03_cju5x00l6m5j608503k78ptee.png
4,cju76o55nymqd0871h31sph9w.jpg,small,0.006505986209958792,0.06223637087221469,0.03211762773202553,0.032204925459985004,0.9221698113225903,0.14128785958649248,0.1852569580078125,0.0064697265625,28.634389703222556,E:\Thesis_Dataset\kvasir-seg\Kvasir-SEG\images\cju76o55nymqd0871h31sph9w.jpg,E:\Thesis_Dataset\kvasir-seg\Kvasir-SEG\masks\cju76o55nymqd0871h31sph9w.jpg,E:\Thesis_Code\outputs\kvasir_m2b_seed1_seqval_constrained\kvasir_visuals\04_cju76o55nymqd0871h31sph9w.png
5,cju1cyjb5qtie0993njqne9m3.jpg,large,0.507233738899231,0.09579684267236466,0.05030809990204795,0.8333333333341552,0.05081942565056358,0.0625703481290915,0.03094482421875,0.5074310302734375,0.060983309578528884,E:\Thesis_Dataset\kvasir-seg\Kvasir-SEG\images\cju1cyjb5qtie0993njqne9m3.jpg,E:\Thesis_Dataset\kvasir-seg\Kvasir-SEG\masks\cju1cyjb5qtie0993njqne9m3.jpg,E:\Thesis_Code\outputs\kvasir_m2b_seed1_seqval_constrained\kvasir_visuals\05_cju1cyjb5qtie0993njqne9m3.png
6,cju8cattbsivm0818p446wgel.jpg,large,0.39281153678894043,0.12906976744217694,0.06898694841552634,1.0,0.06898694841552634,0.08477165338764078,0.027099609375,0.392822265625,0.06898694665897742,E:\Thesis_Dataset\kvasir-seg\Kvasir-SEG\images\cju8cattbsivm0818p446wgel.jpg,E:\Thesis_Dataset\kvasir-seg\Kvasir-SEG\masks\cju8cattbsivm0818p446wgel.jpg,E:\Thesis_Code\outputs\kvasir_m2b_seed1_seqval_constrained\kvasir_visuals\06_cju8cattbsivm0818p446wgel.png
7,cju1drnhbrb9409935wi7vkhg.jpg,large,0.36528822779655457,0.12998050682295126,0.06950756786095588,0.9805882352942318,0.06960334029266405,0.08548718177853731,0.02593994140625,0.365447998046875,0.0709812089136432,E:\Thesis_Dataset\kvasir-seg\Kvasir-SEG\images\cju1drnhbrb9409935wi7vkhg.jpg,E:\Thesis_Dataset\kvasir-seg\Kvasir-SEG\masks\cju1drnhbrb9409935wi7vkhg.jpg,E:\Thesis_Code\outputs\kvasir_m2b_seed1_seqval_constrained\kvasir_visuals\07_cju1drnhbrb9409935wi7vkhg.png
8,cju43c92lm5cj0755lorsorfg.jpg,small,0.04325436055660248,0.14105604793430507,0.07587966693551548,0.07588985896599708,0.9982332155477094,0.2909671493344336,0.5680084228515625,0.043182373046875,13.153707201267295,E:\Thesis_Dataset\kvasir-seg\Kvasir-SEG\images\cju43c92lm5cj0755lorsorfg.jpg,E:\Thesis_Dataset\kvasir-seg\Kvasir-SEG\masks\cju43c92lm5cj0755lorsorfg.jpg,E:\Thesis_Code\outputs\kvasir_m2b_seed1_seqval_constrained\kvasir_visuals\08_cju43c92lm5cj0755lorsorfg.png
9,cju5fi0yxd3ei0801v7u0yudn.jpg,small,0.02073172852396965,0.14539597315482125,0.07839731341608569,0.07840185292467955,0.9992619926199316,0.29836933103993785,0.263519287109375,0.0206756591796875,12.745381289436839,E:\Thesis_Dataset\kvasir-seg\Kvasir-SEG\images\cju5fi0yxd3ei0801v7u0yudn.jpg,E:\Thesis_Dataset\kvasir-seg\Kvasir-SEG\masks\cju5fi0yxd3ei0801v7u0yudn.jpg,E:\Thesis_Code\outputs\kvasir_m2b_seed1_seqval_constrained\kvasir_visuals\09_cju5fi0yxd3ei0801v7u0yudn.png
10,cju3ykamdj9u208503pygyuc8.jpg,small,0.016681544482707977,0.1471201553180793,0.0794008072034466,0.07981586954897416,0.9385321100923072,0.29778192326559033,0.1955718994140625,0.016632080078125,11.758708526433741,E:\Thesis_Dataset\kvasir-seg\Kvasir-SEG\images\cju3ykamdj9u208503pygyuc8.jpg,E:\Thesis_Dataset\kvasir-seg\Kvasir-SEG\masks\cju3ykamdj9u208503pygyuc8.jpg,E:\Thesis_Code\outputs\kvasir_m2b_seed1_seqval_constrained\kvasir_visuals\10_cju3ykamdj9u208503pygyuc8.png
11,cju6z1bzbwfq50817b2alatvr.jpg,large,0.4249405562877655,0.173944353519092,0.09525687448496208,0.9880996653031309,0.09536628261760333,0.11639929073264596,0.0410308837890625,0.4251251220703125,0.09651483926449284,E:\Thesis_Dataset\kvasir-seg\Kvasir-SEG\images\cju6z1bzbwfq50817b2alatvr.jpg,E:\Thesis_Dataset\kvasir-seg\Kvasir-SEG\masks\cju6z1bzbwfq50817b2alatvr.jpg,E:\Thesis_Code\outputs\kvasir_m2b_seed1_seqval_constrained\kvasir_visuals\11_cju6z1bzbwfq50817b2alatvr.png
12,cju3xuj20ivgp0818mij8bjrd.jpg,small,0.029811406508088112,0.1741532331103178,0.09538217350374714,0.0954816286002505,0.9891975308642531,0.3444261403319676,0.30731201171875,0.0296630859375,10.3600788119438,E:\Thesis_Dataset\kvasir-seg\Kvasir-SEG\images\cju3xuj20ivgp0818mij8bjrd.jpg,E:\Thesis_Dataset\kvasir-seg\Kvasir-SEG\masks\cju3xuj20ivgp0818mij8bjrd.jpg,E:\Thesis_Code\outputs\kvasir_m2b_seed1_seqval_constrained\kvasir_visuals\12_cju3xuj20ivgp0818mij8bjrd.png
13,cju8at3s1qqqx0850hcq8nmnq.jpg,small,0.026576600968837738,0.17801047120849212,0.09770114943047299,1.0,0.09770114943047299,0.11921458841089838,0.002593994140625,0.02655029296875,0.09770111262678093,E:\Thesis_Dataset\kvasir-seg\Kvasir-SEG\images\cju8at3s1qqqx0850hcq8nmnq.jpg,E:\Thesis_Dataset\kvasir-seg\Kvasir-SEG\masks\cju8at3s1qqqx0850hcq8nmnq.jpg,E:\Thesis_Code\outputs\kvasir_m2b_seed1_seqval_constrained\kvasir_visuals\13_cju8at3s1qqqx0850hcq8nmnq.png
14,cju2ro5jqsy680988pi6qsujw.jpg,large,0.2165270894765854,0.17814544055458628,0.09778247096156438,0.9992805755395735,0.09778935511187144,0.1193175982755424,0.021209716796875,0.21673583984375,0.0978597532995376,E:\Thesis_Dataset\kvasir-seg\Kvasir-SEG\images\cju2ro5jqsy680988pi6qsujw.jpg,E:\Thesis_Dataset\kvasir-seg\Kvasir-SEG\masks\cju2ro5jqsy680988pi6qsujw.jpg,E:\Thesis_Code\outputs\kvasir_m2b_seed1_seqval_constrained\kvasir_visuals\14_cju2ro5jqsy680988pi6qsujw.png
15,cju7d8m3b2e210755l8fj1yph.jpg,large,0.2705518305301666,0.1824615384619577,0.10038936854630078,1.0,0.10038936854630078,0.12241443589668495,0.0271453857421875,0.2704010009765625,0.10038936483318243,E:\Thesis_Dataset\kvasir-seg\Kvasir-SEG\images\cju7d8m3b2e210755l8fj1yph.jpg,E:\Thesis_Dataset\kvasir-seg\Kvasir-SEG\masks\cju7d8m3b2e210755l8fj1yph.jpg,E:\Thesis_Code\outputs\kvasir_m2b_seed1_seqval_constrained\kvasir_visuals\15_cju7d8m3b2e210755l8fj1yph.png
16,cju5uhrdwkmsu0817ervv91l8.jpg,small,0.01748427376151085,0.18331600415965502,0.10090692964770545,0.10090692964770545,1.0,0.359450478187017,0.1732940673828125,0.017486572265625,9.91011649677666,E:\Thesis_Dataset\kvasir-seg\Kvasir-SEG\images\cju5uhrdwkmsu0817ervv91l8.jpg,E:\Thesis_Dataset\kvasir-seg\Kvasir-SEG\masks\cju5uhrdwkmsu0817ervv91l8.jpg,E:\Thesis_Code\outputs\kvasir_m2b_seed1_seqval_constrained\kvasir_visuals\16_cju5uhrdwkmsu0817ervv91l8.png
17,cju34uhepd3dd0799hs8782ad.jpg,small,0.024818897247314453,0.18954516185729112,0.10469477496177916,0.10473541208493677,0.996307692307715,0.36865835221723464,0.235870361328125,0.0247955322265625,9.512611548193782,E:\Thesis_Dataset\kvasir-seg\Kvasir-SEG\images\cju34uhepd3dd0799hs8782ad.jpg,E:\Thesis_Dataset\kvasir-seg\Kvasir-SEG\masks\cju34uhepd3dd0799hs8782ad.jpg,E:\Thesis_Code\outputs\kvasir_m2b_seed1_seqval_constrained\kvasir_visuals\17_cju34uhepd3dd0799hs8782ad.png
18,cju16whaj0e7n0855q7b6cjkm.jpg,large,0.26006799936294556,0.2356380646108095,0.13355426677761195,0.6944284893748006,0.14189308139244064,0.1687463390004734,0.053131103515625,0.2600250244140625,0.20433072390645013,E:\Thesis_Dataset\kvasir-seg\Kvasir-SEG\images\cju16whaj0e7n0855q7b6cjkm.jpg,E:\Thesis_Dataset\kvasir-seg\Kvasir-SEG\masks\cju16whaj0e7n0855q7b6cjkm.jpg,E:\Thesis_Code\outputs\kvasir_m2b_seed1_seqval_constrained\kvasir_visuals\18_cju16whaj0e7n0855q7b6cjkm.png
19,cju1egx9pvz2n0988eoy8jp23.jpg,small,0.01584923267364502,0.24371472550122664,0.1387671633082986,0.14105419450758566,0.8953817153638514,0.43264414270010815,0.1027679443359375,0.0161895751953125,6.3477811874817345,E:\Thesis_Dataset\kvasir-seg\Kvasir-SEG\images\cju1egx9pvz2n0988eoy8jp23.jpg,E:\Thesis_Dataset\kvasir-seg\Kvasir-SEG\masks\cju1egx9pvz2n0988eoy8jp23.jpg,E:\Thesis_Code\outputs\kvasir_m2b_seed1_seqval_constrained\kvasir_visuals\19_cju1egx9pvz2n0988eoy8jp23.png
20,ck2bxqz3evvg20794iiyv5v2m.jpg,medium,0.08724922686815262,0.2443905397221886,0.1392055267717803,0.9148694665162898,0.1410323709551338,0.16974853847376276,0.0134429931640625,0.0872039794921875,0.1541557128560826,E:\Thesis_Dataset\kvasir-seg\Kvasir-SEG\images\ck2bxqz3evvg20794iiyv5v2m.jpg,E:\Thesis_Dataset\kvasir-seg\Kvasir-SEG\masks\ck2bxqz3evvg20794iiyv5v2m.jpg,E:\Thesis_Code\outputs\kvasir_m2b_seed1_seqval_constrained\kvasir_visuals\20_ck2bxqz3evvg20794iiyv5v2m.png
