threshold,subset,num_samples,Dice,IoU,Precision,Recall,F2,mean_pred_area,mean_gt_area,area_ratio,area_diff,mean_pred_area_per_image,mean_gt_area_per_image
0.30,overall,1000,0.8890119271804023,0.8001993441065143,0.9081381348256785,0.8706747325536046,0.8779180798255621,0.14760111999511719,0.15395210266113282,0.9587469599719302,-0.0063509826660156365,0.14760111999511719,0.15395210266113282
0.30,small,200,0.840422270115909,0.7247657905606025,0.8000954523760866,0.8850300022154058,0.8666304804626356,0.03580810546875,0.03237167358398438,1.10615517959856,0.0034364318847656186,0.03580810546875,0.03237167358398438
0.30,medium,423,0.8992188561762074,0.8168915875980431,0.8810530972876499,0.9181494768985464,0.9104823796051668,0.09996137325927157,0.09592259183843085,1.0421044815657055,0.004038781420840715,0.09996137325927157,0.09592259183843085
0.30,large,377,0.8881186757294454,0.7987531190094342,0.9276888343553705,0.8517861142001466,0.8659564806689698,0.26036031303102203,0.28356103871798327,0.9181808087117226,-0.023200725686961243,0.26036031303102203,0.28356103871798327
0.50,overall,1000,0.8868923293806011,0.796771375124099,0.9206746743266004,0.8555013898242761,0.8677872819671524,0.14305404663085938,0.15395210266113282,0.9292113252498106,-0.01089805603027344,0.14305404663085938,0.15395210266113282
0.50,small,200,0.8435049406360353,0.7293632029002693,0.8164214556513993,0.8724469835164607,0.8606350616468128,0.034593124389648434,0.03237167358398438,1.0686229617900718,0.002221450805664056,0.034593124389648434,0.03237167358398438
0.50,medium,423,0.9005717070323311,0.819127279871462,0.8949551885504922,0.9062591664974393,0.9039755842044014,0.09713416854822325,0.09592259183843085,1.012630669795979,0.0012115767097923974,0.09713416854822325,0.09592259183843085
0.50,large,377,0.8842381420727621,0.7924971944420295,0.9393815487577228,0.8352098062750263,0.8541539089388908,0.2521158314510113,0.28356103871798327,0.8891060058878328,-0.031445207266971975,0.2521158314510113,0.28356103871798327
0.70,overall,1000,0.882511295800944,0.7897272630003641,0.9324809065717937,0.8376248153384666,0.8550201026284171,0.13829141235351564,0.15395210266113282,0.8982755089429122,-0.015660690307617187,0.13829141235351564,0.15395210266113282
0.70,small,200,0.8448500288874521,0.7313769207592702,0.8319532792279047,0.8581529193828957,0.8527818064740326,0.03339111328125,0.03237167358398438,1.0314914018796963,0.0010194396972656242,0.03339111328125,0.03237167358398438
0.70,medium,423,0.9003960984990623,0.8188367622832545,0.9089603023415609,0.8919917717758377,0.8953346050370125,0.09413190260001109,0.09592259183843085,0.9813318320802435,-0.0017906892384197681,0.09413190260001109,0.09592259183843085
0.70,large,377,0.8777680556688267,0.7821627784726429,0.9499968666383086,0.8157463863283323,0.8394726992552811,0.24348911113384863,0.28356103871798327,0.8586832085531313,-0.04007192758413464,0.24348911113384863,0.28356103871798327
