threshold,subset,num_samples,Dice,IoU,Precision,Recall,F2,mean_pred_area,mean_gt_area,area_ratio,area_diff,mean_pred_area_per_image,mean_gt_area_per_image
0.30,overall,1000,0.8618768475898593,0.7572790745577139,0.8023037585441162,0.9310064369504446,0.9020652264607815,0.17864854431152344,0.15395210266113282,1.1604163218256736,0.024696441650390616,0.17864854431152344,0.15395210266113282
0.30,small,200,0.697100601076979,0.535037932823676,0.5504611204783973,0.9502382736824255,0.8297200069773245,0.05588188171386719,0.03237167358398438,1.7262581221297455,0.02351020812988281,0.05588188171386719,0.03237167358398438
0.30,medium,423,0.8379291280340027,0.7210654257398177,0.7445440395762071,0.958099611152478,0.9061196379159799,0.12343581179355054,0.09592259183843085,1.286827185958343,0.027513219955119683,0.12343581179355054,0.09592259183843085
0.30,large,377,0.8849703957501478,0.7936743494317544,0.8528900516601221,0.9195583819098104,0.9054037427121822,0.30572631188349636,0.28356103871798327,1.0781675172444352,0.02216527316551309,0.30572631188349636,0.28356103871798327
0.50,overall,1000,0.87249629485233,0.7738300910843204,0.8358375661154224,0.9125181316440366,0.8960767385280337,0.16807582092285156,0.15395210266113282,1.091740918767427,0.014123718261718737,0.16807582092285156,0.15395210266113282
0.50,small,200,0.7313424925029665,0.576469605217451,0.6039596205325322,0.9268209907094492,0.8373010453564779,0.049676742553710934,0.03237167358398438,1.5345739564280212,0.017305068969726556,0.049676742553710934,0.03237167358398438
0.50,medium,423,0.8533356789096891,0.7441896143574882,0.7804224341189984,0.9412772550523856,0.9040116352071005,0.11569343729222074,0.09592259183843085,1.2061123768003217,0.01977084545378989,0.11569343729222074,0.09592259183843085
0.50,large,377,0.8911512582227814,0.8036725160498264,0.8817680899725461,0.9007362728007557,0.8968776305945143,0.2896608711870027,0.28356103871798327,1.0215114963659413,0.006099832469019406,0.2896608711870027,0.28356103871798327
0.70,overall,1000,0.8779545908778094,0.782459055346663,0.8721512630109322,0.8838356672172444,0.8814738074081524,0.15601463317871095,0.15395210266113282,1.0133971563100144,0.002062530517578126,0.15601463317871095,0.15395210266113282
0.70,small,200,0.762959818275836,0.6167623570743195,0.6655831162722181,0.8937124972307485,0.8363785548109246,0.04346710205078125,0.03237167358398438,1.3427507388675402,0.01109542846679687,0.04346710205078125,0.03237167358398438
0.70,medium,423,0.8666959002169393,0.764751402896049,0.8223532410275286,0.9160931729807384,0.8956736306342483,0.10685679478566415,0.09592259183843085,1.113989745249514,0.010934202947233296,0.10685679478566415,0.09592259183843085
0.70,large,377,0.8909193388410206,0.8032953508629552,0.9117776262336783,0.8709940375077632,0.8788562424404263,0.2708774232737898,0.28356103871798327,0.9552702125290556,-0.012683615444193497,0.2708774232737898,0.28356103871798327
