threshold,subset,num_samples,Dice,IoU,Precision,Recall,F2,mean_pred_area,mean_gt_area,area_ratio,area_diff,mean_pred_area_per_image,mean_gt_area_per_image
0.30,overall,1000,0.8860415069308811,0.7953990318703051,0.8872321429103823,0.8848540622563968,0.8853286582498221,0.1535394592285156,0.15395210266113282,0.9973195987668874,-0.00041264343261721015,0.1535394592285156,0.15395210266113282
0.30,small,200,0.8195558757577586,0.694277568016069,0.7480495881274928,0.906177675335023,0.8694207949977734,0.03921463012695312,0.03237167358398438,1.2113867981322488,0.006842956542968744,0.03921463012695312,0.03237167358398438
0.30,medium,423,0.8930624160058386,0.8067866056037262,0.8478374752011794,0.9433839512022686,0.922589823037393,0.10673252403313387,0.09592259183843085,1.1126942137465259,0.010809932194703012,0.10673252403313387,0.09592259183843085
0.30,large,377,0.8877288336357246,0.7981226705152118,0.9157773556284049,0.8613473979237403,0.8717095486926771,0.2667073621673989,0.28356103871798327,0.9405641690677118,-0.016853676550584396,0.2667073621673989,0.28356103871798327
0.50,overall,1000,0.8855103252707635,0.7945433191078212,0.9003830660094045,0.8711209432072556,0.8768202111956975,0.14894871520996095,0.15395210266113282,0.9675003001603171,-0.005003387451171876,0.14894871520996095,0.15395210266113282
0.50,small,200,0.8236200412734461,0.7001309697293963,0.7631314390496996,0.8945232405220834,0.8647457995082494,0.03794525146484375,0.03237167358398438,1.1721741739628535,0.005573577880859375,0.03794525146484375,0.03237167358398438
0.50,medium,423,0.8968834956661218,0.8130451245561856,0.8623761939755289,0.9342674699338887,0.9189460353513338,0.1039190991268654,0.09592259183843085,1.0833640574293804,0.00799650728843454,0.1039190991268654,0.09592259183843085
0.50,large,377,0.88506480513945,0.7938262324297235,0.928229623096409,0.8457361250694589,0.8610405818903796,0.2583604402820375,0.28356103871798327,0.9111281025730401,-0.025200598435945798,0.2583604402820375,0.28356103871798327
0.70,overall,1000,0.8829601537585198,0.7904464256395404,0.9138034732636069,0.8541309423102751,0.8654337275927737,0.14389883422851563,0.15395210266113282,0.934698665326239,-0.010053268432617196,0.14389883422851563,0.15395210266113282
0.70,small,200,0.8286973731159389,0.7075006527736312,0.7820452758211098,0.8812685304335148,0.8594594697493894,0.0364788818359375,0.03237167358398438,1.1268762633644769,0.004107208251953119,0.0364788818359375,0.03237167358398438
0.70,medium,423,0.8992111450176397,0.816878860053547,0.8766449330596813,0.9229698323518133,0.9133172744465269,0.10099146777574616,0.09592259183843085,1.0528432907382261,0.005068875937315309,0.10099146777574616,0.09592259183843085
0.70,large,377,0.8799399455403082,0.785618540752964,0.9409505652747711,0.8263593456031672,0.8469890172669143,0.2490282944089854,0.28356103871798327,0.8782175673805518,-0.03453274430899786,0.2490282944089854,0.28356103871798327
