rank,filename,size_group,mask_area_fraction_original,Dice,IoU,Precision,Recall,F2,pred_area,gt_area,area_ratio,image_path,mask_path,visual_path
1,cju89z6pqpqfx0817mfv8ixjc.jpg,small,0.014850945211946964,0.061052631582241924,0.03148751357570942,0.04622741764587552,0.08987603306725334,0.07559961654765995,0.028717041015625,0.0147705078125,1.9442135597522743,E:\Thesis_Dataset\kvasir-seg\Kvasir-SEG\images\cju89z6pqpqfx0817mfv8ixjc.jpg,E:\Thesis_Dataset\kvasir-seg\Kvasir-SEG\masks\cju89z6pqpqfx0817mfv8ixjc.jpg,E:\Thesis_Code\outputs\kvasir_m2b_seed2_seqval_constrained\kvasir_visuals\01_cju89z6pqpqfx0817mfv8ixjc.png
2,cju76o55nymqd0871h31sph9w.jpg,small,0.006505986209958792,0.07670686372374946,0.03988308504710552,0.03988684582834522,0.9976415094340179,0.17193724803390462,0.1618194580078125,0.0064697265625,25.01175379315338,E:\Thesis_Dataset\kvasir-seg\Kvasir-SEG\images\cju76o55nymqd0871h31sph9w.jpg,E:\Thesis_Dataset\kvasir-seg\Kvasir-SEG\masks\cju76o55nymqd0871h31sph9w.jpg,E:\Thesis_Code\outputs\kvasir_m2b_seed2_seqval_constrained\kvasir_visuals\02_cju76o55nymqd0871h31sph9w.png
3,cju5fi0yxd3ei0801v7u0yudn.jpg,small,0.02073172852396965,0.09832134292598708,0.05170239596505342,0.051706347690200744,0.9985239852398633,0.21417039307219057,0.3992767333984375,0.0206756591796875,19.311429774215043,E:\Thesis_Dataset\kvasir-seg\Kvasir-SEG\images\cju5fi0yxd3ei0801v7u0yudn.jpg,E:\Thesis_Dataset\kvasir-seg\Kvasir-SEG\masks\cju5fi0yxd3ei0801v7u0yudn.jpg,E:\Thesis_Code\outputs\kvasir_m2b_seed2_seqval_constrained\kvasir_visuals\03_cju5fi0yxd3ei0801v7u0yudn.png
4,cju1f79yhsb5w0993txub59ol.jpg,small,0.010734349489212036,0.10465375194900566,0.05521616541427379,0.05521616541427379,1.0,0.22613549517870882,0.19482421875,0.0107574462890625,18.11062146244414,E:\Thesis_Dataset\kvasir-seg\Kvasir-SEG\images\cju1f79yhsb5w0993txub59ol.jpg,E:\Thesis_Dataset\kvasir-seg\Kvasir-SEG\masks\cju1f79yhsb5w0993txub59ol.jpg,E:\Thesis_Code\outputs\kvasir_m2b_seed2_seqval_constrained\kvasir_visuals\04_cju1f79yhsb5w0993txub59ol.png
5,cju1drnhbrb9409935wi7vkhg.jpg,large,0.36528822779655457,0.13919277153450352,0.07480235964562189,0.6579597599729687,0.07782881002126187,0.09449170490255734,0.0432281494140625,0.365447998046875,0.1182880969719713,E:\Thesis_Dataset\kvasir-seg\Kvasir-SEG\images\cju1drnhbrb9409935wi7vkhg.jpg,E:\Thesis_Dataset\kvasir-seg\Kvasir-SEG\masks\cju1drnhbrb9409935wi7vkhg.jpg,E:\Thesis_Code\outputs\kvasir_m2b_seed2_seqval_constrained\kvasir_visuals\05_cju1drnhbrb9409935wi7vkhg.png
6,cju3xuj20ivgp0818mij8bjrd.jpg,small,0.029811406508088112,0.16865476708786736,0.09209337707455327,0.09212403690711873,0.996399176954751,0.33626137560222236,0.320831298828125,0.0296630859375,10.815839975170325,E:\Thesis_Dataset\kvasir-seg\Kvasir-SEG\images\cju3xuj20ivgp0818mij8bjrd.jpg,E:\Thesis_Dataset\kvasir-seg\Kvasir-SEG\masks\cju3xuj20ivgp0818mij8bjrd.jpg,E:\Thesis_Code\outputs\kvasir_m2b_seed2_seqval_constrained\kvasir_visuals\06_cju3xuj20ivgp0818mij8bjrd.png
7,cju34uhepd3dd0799hs8782ad.jpg,small,0.024818897247314453,0.1812196618874177,0.09963801460267523,0.09964412811443142,0.9993846153846192,0.35617159860636705,0.248687744140625,0.0247955322265625,10.02953441664266,E:\Thesis_Dataset\kvasir-seg\Kvasir-SEG\images\cju34uhepd3dd0799hs8782ad.jpg,E:\Thesis_Dataset\kvasir-seg\Kvasir-SEG\masks\cju34uhepd3dd0799hs8782ad.jpg,E:\Thesis_Code\outputs\kvasir_m2b_seed2_seqval_constrained\kvasir_visuals\07_cju34uhepd3dd0799hs8782ad.png
8,cju0tl3uz8blh0993wxvn7ly3.jpg,small,0.005272947251796722,0.19600112644551956,0.10864814236931425,0.10864814236931425,1.0,0.3786724744139689,0.0488739013671875,0.00531005859375,9.204005655353027,E:\Thesis_Dataset\kvasir-seg\Kvasir-SEG\images\cju0tl3uz8blh0993wxvn7ly3.jpg,E:\Thesis_Dataset\kvasir-seg\Kvasir-SEG\masks\cju0tl3uz8blh0993wxvn7ly3.jpg,E:\Thesis_Code\outputs\kvasir_m2b_seed2_seqval_constrained\kvasir_visuals\08_cju0tl3uz8blh0993wxvn7ly3.png
9,cju5uhrdwkmsu0817ervv91l8.jpg,small,0.01748427376151085,0.19942573740607375,0.11075674108523169,0.11075674108523169,1.0,0.3837653247466756,0.1578826904296875,0.017486572265625,9.02879064824761,E:\Thesis_Dataset\kvasir-seg\Kvasir-SEG\images\cju5uhrdwkmsu0817ervv91l8.jpg,E:\Thesis_Dataset\kvasir-seg\Kvasir-SEG\masks\cju5uhrdwkmsu0817ervv91l8.jpg,E:\Thesis_Code\outputs\kvasir_m2b_seed2_seqval_constrained\kvasir_visuals\09_cju5uhrdwkmsu0817ervv91l8.png
10,cju6vvb8svhed0801jjcquh5e.jpg,small,0.015122453682124615,0.2157713268833102,0.12093255205196243,0.12117426608479553,0.9837728194727812,0.4058917104671974,0.1221466064453125,0.015045166015625,8.11865586141754,E:\Thesis_Dataset\kvasir-seg\Kvasir-SEG\images\cju6vvb8svhed0801jjcquh5e.jpg,E:\Thesis_Dataset\kvasir-seg\Kvasir-SEG\masks\cju6vvb8svhed0801jjcquh5e.jpg,E:\Thesis_Code\outputs\kvasir_m2b_seed2_seqval_constrained\kvasir_visuals\10_cju6vvb8svhed0801jjcquh5e.png
