threshold,subset,num_samples,Dice,IoU,Precision,Recall,F2,mean_pred_area,mean_gt_area,area_ratio,area_diff,mean_pred_area_per_image,mean_gt_area_per_image
0.30,overall,1000,0.8687764940264214,0.7679972078362319,0.8341539865393538,0.9063975526802622,0.8909647970516035,0.16728543090820314,0.15395210266113282,1.0866069196232373,0.013333328247070314,0.16728543090820314,0.15395210266113282
0.30,small,200,0.7358275194250672,0.5820625988396965,0.6091454020333135,0.9290363938892598,0.8407345213237278,0.049371566772460934,0.03237167358398438,1.5251467117665485,0.016999893188476556,0.049371566772460934,0.03237167358398438
0.30,medium,423,0.8647893400117947,0.7617875434862287,0.7921448665107899,0.9521029355355493,0.9151438759938183,0.11529227182374778,0.09592259183843085,1.2019301980355226,0.019369679985316926,0.11529227182374778,0.09592259183843085
0.30,large,377,0.8805130866531734,0.7865327197267407,0.8734621124680725,0.887678824452827,0.8847985792232362,0.2881763569556117,0.28356103871798327,1.0162762419538751,0.004615318237628452,0.2881763569556117,0.28356103871798327
0.50,overall,1000,0.8721904780107747,0.7733490992986202,0.850038567801009,0.8955278334054387,0.8860446125016683,0.16219075012207032,0.15395210266113282,1.0535142864786256,0.008238647460937498,0.16219075012207032,0.15395210266113282
0.50,small,200,0.7461738012519347,0.5951174110071927,0.6279507085564571,0.9192367700364382,0.8411960338144422,0.04738784790039063,0.03237167358398438,1.4638672646558109,0.015016174316406249,0.04738784790039063,0.03237167358398438
0.50,medium,423,0.8712019327359145,0.7717960882476376,0.8092848342588408,0.9433783102807677,0.9131186901493613,0.11181637017721262,0.09592259183843085,1.165693674214058,0.015893778338781764,0.11181637017721262,0.09592259183843085
0.50,large,377,0.8820675455575583,0.7890168516464452,0.8882915864993514,0.8759301183862949,0.8783748119103625,0.27961500253854443,0.28356103871798327,0.986083962528424,-0.003946036179438839,0.27961500253854443,0.28356103871798327
0.70,overall,1000,0.8744621867104072,0.776928306082076,0.8666421042436373,0.882424682129422,0.8792223466120032,0.15675575256347657,0.15395210266113282,1.0182111167809362,0.0028036499023437467,0.15675575256347657,0.15395210266113282
0.70,small,200,0.7583017346379163,0.6106972650209804,0.6512204485378861,0.9075281285499501,0.841303959758039,0.045112533569335936,0.03237167358398438,1.3935800852710356,0.012740859985351558,0.045112533569335936,0.03237167358398438
0.70,medium,423,0.8773811702647815,0.7815485960374648,0.8280686470365388,0.9329388448897015,0.9098923050888885,0.10807064408106161,0.09592259183843085,1.126644211164044,0.012148052242630755,0.10807064408106161,0.09592259183843085
0.70,large,377,0.8818728206099021,0.7887052894027093,0.9029782045638753,0.8617314992956716,0.8696766071209773,0.27060839099023953,0.28356103871798327,0.954321449344667,-0.012952647727743738,0.27060839099023953,0.28356103871798327
