rank,filename,size_group,mask_area_fraction_original,Dice,IoU,Precision,Recall,F2,pred_area,gt_area,area_ratio,image_path,mask_path,visual_path
1,cju1egx9pvz2n0988eoy8jp23.jpg,small,0.01584923267364502,1.444669170757809e-12,1.444669170757809e-12,1.7061934823379865e-12,9.42507068794133e-12,0.9983776518288484,0.0894317626953125,0.0161895751953125,5.524030518163392,E:\Thesis_Dataset\kvasir-seg\Kvasir-SEG\images\cju1egx9pvz2n0988eoy8jp23.jpg,E:\Thesis_Dataset\kvasir-seg\Kvasir-SEG\masks\cju1egx9pvz2n0988eoy8jp23.jpg,E:\Thesis_Code\outputs\kvasir_m2b_seed1_valdice\kvasir_visuals\01_cju1egx9pvz2n0988eoy8jp23.png
2,cju8at3s1qqqx0850hcq8nmnq.jpg,small,0.026576600968837738,5.74712643674858e-12,5.74712643674858e-12,1.0,5.74712643674858e-12,2.5071839017743736e-09,0.0,0.02655029296875,0.0,E:\Thesis_Dataset\kvasir-seg\Kvasir-SEG\images\cju8at3s1qqqx0850hcq8nmnq.jpg,E:\Thesis_Dataset\kvasir-seg\Kvasir-SEG\masks\cju8at3s1qqqx0850hcq8nmnq.jpg,E:\Thesis_Code\outputs\kvasir_m2b_seed1_valdice\kvasir_visuals\02_cju8at3s1qqqx0850hcq8nmnq.png
3,cju1dg44i4z3w0801nyz4p6zf.jpg,small,0.008840410970151424,1.757469244257338e-11,1.757469244257338e-11,1.0,1.757469244257338e-11,2.5219683592372157e-09,0.0,0.0086822509765625,0.0,E:\Thesis_Dataset\kvasir-seg\Kvasir-SEG\images\cju1dg44i4z3w0801nyz4p6zf.jpg,E:\Thesis_Dataset\kvasir-seg\Kvasir-SEG\masks\cju1dg44i4z3w0801nyz4p6zf.jpg,E:\Thesis_Code\outputs\kvasir_m2b_seed1_valdice\kvasir_visuals\03_cju1dg44i4z3w0801nyz4p6zf.png
4,cju89z6pqpqfx0817mfv8ixjc.jpg,small,0.014850945211946964,0.026436197257177333,0.013395157138038653,0.017532029672901107,0.05371900827423844,0.03802289136980692,0.045257568359375,0.0147705078125,3.0640475123407254,E:\Thesis_Dataset\kvasir-seg\Kvasir-SEG\images\cju89z6pqpqfx0817mfv8ixjc.jpg,E:\Thesis_Dataset\kvasir-seg\Kvasir-SEG\masks\cju89z6pqpqfx0817mfv8ixjc.jpg,E:\Thesis_Code\outputs\kvasir_m2b_seed1_valdice\kvasir_visuals\04_cju89z6pqpqfx0817mfv8ixjc.png
5,cju76o55nymqd0871h31sph9w.jpg,small,0.006505986209958792,0.06142095632185422,0.03168349339322689,0.031782626596103924,0.9103773584926798,0.13944080014789217,0.1853179931640625,0.0064697265625,28.64382365090503,E:\Thesis_Dataset\kvasir-seg\Kvasir-SEG\images\cju76o55nymqd0871h31sph9w.jpg,E:\Thesis_Dataset\kvasir-seg\Kvasir-SEG\masks\cju76o55nymqd0871h31sph9w.jpg,E:\Thesis_Code\outputs\kvasir_m2b_seed1_valdice\kvasir_visuals\05_cju76o55nymqd0871h31sph9w.png
6,cju5x00l6m5j608503k78ptee.jpg,large,0.39051270484924316,0.08745658911867976,0.04572789753239388,0.9965957446808801,0.04573504140015398,0.056520356425180496,0.0179290771484375,0.39068603515625,0.045891265814900016,E:\Thesis_Dataset\kvasir-seg\Kvasir-SEG\images\cju5x00l6m5j608503k78ptee.jpg,E:\Thesis_Dataset\kvasir-seg\Kvasir-SEG\masks\cju5x00l6m5j608503k78ptee.jpg,E:\Thesis_Code\outputs\kvasir_m2b_seed1_valdice\kvasir_visuals\06_cju5x00l6m5j608503k78ptee.png
7,cju1drnhbrb9409935wi7vkhg.jpg,large,0.36528822779655457,0.1225639821557789,0.06528264132104998,0.9763092269328161,0.06538622129475348,0.08038684474598347,0.02447509765625,0.365447998046875,0.06697285829263748,E:\Thesis_Dataset\kvasir-seg\Kvasir-SEG\images\cju1drnhbrb9409935wi7vkhg.jpg,E:\Thesis_Dataset\kvasir-seg\Kvasir-SEG\masks\cju1drnhbrb9409935wi7vkhg.jpg,E:\Thesis_Code\outputs\kvasir_m2b_seed1_valdice\kvasir_visuals\07_cju1drnhbrb9409935wi7vkhg.png
8,cju7b1ygu1msd0801hywhy0mc.jpg,large,0.15044188499450684,0.1548959960543,0.08394973710089658,0.4077922077947715,0.09560539937166791,0.11289008710958762,0.035247802734375,0.1503448486328125,0.2344463459203535,E:\Thesis_Dataset\kvasir-seg\Kvasir-SEG\images\cju7b1ygu1msd0801hywhy0mc.jpg,E:\Thesis_Dataset\kvasir-seg\Kvasir-SEG\masks\cju7b1ygu1msd0801hywhy0mc.jpg,E:\Thesis_Code\outputs\kvasir_m2b_seed1_valdice\kvasir_visuals\08_cju7b1ygu1msd0801hywhy0mc.png
9,cju31t8xd17bk0835rnb893jk.jpg,small,0.005786565598100424,0.18435415403769345,0.10153640615162636,0.1201581027737537,0.39583333334906684,0.2713316755884109,0.0193023681640625,0.005859375,3.2942652111207065,E:\Thesis_Dataset\kvasir-seg\Kvasir-SEG\images\cju31t8xd17bk0835rnb893jk.jpg,E:\Thesis_Dataset\kvasir-seg\Kvasir-SEG\masks\cju31t8xd17bk0835rnb893jk.jpg,E:\Thesis_Code\outputs\kvasir_m2b_seed1_valdice\kvasir_visuals\09_cju31t8xd17bk0835rnb893jk.png
10,cju5uhrdwkmsu0817ervv91l8.jpg,small,0.01748427376151085,0.20068295245670195,0.11153284671619314,0.11153284671619314,1.0,0.38562487806432216,0.1567840576171875,0.017486572265625,8.965963459045538,E:\Thesis_Dataset\kvasir-seg\Kvasir-SEG\images\cju5uhrdwkmsu0817ervv91l8.jpg,E:\Thesis_Dataset\kvasir-seg\Kvasir-SEG\masks\cju5uhrdwkmsu0817ervv91l8.jpg,E:\Thesis_Code\outputs\kvasir_m2b_seed1_valdice\kvasir_visuals\10_cju5uhrdwkmsu0817ervv91l8.png
11,cju43c92lm5cj0755lorsorfg.jpg,small,0.04325436055660248,0.20305350864556995,0.11299919592650066,0.11754865332118576,0.7448763250892407,0.3603049312562627,0.2736358642578125,0.043182373046875,6.336747649169279,E:\Thesis_Dataset\kvasir-seg\Kvasir-SEG\images\cju43c92lm5cj0755lorsorfg.jpg,E:\Thesis_Dataset\kvasir-seg\Kvasir-SEG\masks\cju43c92lm5cj0755lorsorfg.jpg,E:\Thesis_Code\outputs\kvasir_m2b_seed1_valdice\kvasir_visuals\11_cju43c92lm5cj0755lorsorfg.png
