threshold,subset,n_seeds,seeds_used,Dice_mean,Dice_std,Dice_mean_std,IoU_mean,IoU_std,IoU_mean_std,Precision_mean,Precision_std,Precision_mean_std,Recall_mean,Recall_std,Recall_mean_std,F2_mean,F2_std,F2_mean_std,mean_pred_area_mean,mean_pred_area_std,mean_pred_area_mean_std,mean_gt_area_mean,mean_gt_area_std,mean_gt_area_mean_std,area_ratio_mean,area_ratio_std,area_ratio_mean_std,area_diff_mean,area_diff_std,area_diff_mean_std
0.30,overall,3,"0,1,2",0.8574349696811702,0.014097450842959408,0.8574+-0.0141,0.7506241602350825,0.021487829366923353,0.7506+-0.0215,0.8000898735389756,0.03522327512176384,0.8001+-0.0352,0.9248535799022176,0.016276525842408674,0.9249+-0.0163,0.8964988920335015,0.005550284929930608,0.8965+-0.0056,0.1782750193277995,0.010807668051435949,0.1783+-0.0108,0.15395210266113282,0.0,0.1540+-0.0000,1.1579900804622558,0.07020149229926408,1.1580+-0.0702,0.024322916666666656,0.010807668051435949,0.0243+-0.0108
0.50,overall,3,"0,1,2",0.8655194503963058,0.011820392972509565,0.8655+-0.0118,0.7630482010583417,0.01825981404846041,0.7630+-0.0183,0.8247307833429837,0.03232541789606115,0.8247+-0.0323,0.9115398116473007,0.015545922897421103,0.9115+-0.0155,0.8924317231039689,0.005549793025608881,0.8924+-0.0055,0.1704064178466797,0.00959563901513151,0.1704+-0.0096,0.15395210266113282,0.0,0.1540+-0.0000,1.10687937243034,0.06232872579184846,1.1069+-0.0623,0.01645431518554687,0.00959563901513151,0.0165+-0.0096
0.70,overall,3,"0,1,2",0.8716605708382028,0.008068281489715872,0.8717+-0.0081,0.7725764985911372,0.012633690711059214,0.7726+-0.0126,0.8524449107407748,0.029490261436078476,0.8524+-0.0295,0.8926178170731245,0.016448215546024065,0.8926+-0.0164,0.8840080117833178,0.006438372198177434,0.8840+-0.0064,0.16140791829427084,0.008707504034768348,0.1614+-0.0087,0.15395210266113282,0.0,0.1540+-0.0000,1.0484293817360542,0.05655982165009067,1.0484+-0.0566,0.007455815633138019,0.008707504034768348,0.0075+-0.0087
