subset,report_threshold,n_seeds,seeds_used,Dice_mean,Dice_std,Dice_mean_std,IoU_mean,IoU_std,IoU_mean_std,Precision_mean,Precision_std,Precision_mean_std,Recall_mean,Recall_std,Recall_mean_std,F2_mean,F2_std,F2_mean_std,mean_pred_area_mean,mean_pred_area_std,mean_pred_area_mean_std,mean_gt_area_mean,mean_gt_area_std,mean_gt_area_mean_std,area_ratio_mean,area_ratio_std,area_ratio_mean_std,area_diff_mean,area_diff_std,area_diff_mean_std
overall,0.5,3,"0,1,2",0.8874881650662171,0.0023335247912324316,0.8875+-0.0023,0.7977389613258267,0.00377364698389673,0.7977+-0.0038,0.9105927545852134,0.010146407525864046,0.9106+-0.0101,0.8656473135267475,0.008795758099316512,0.8656+-0.0088,0.8742393193404299,0.005624746956813394,0.8742+-0.0056,0.14637510681152344,0.0030175805771225166,0.1464+-0.0030,0.15395210266113282,0.0,0.1540+-0.0000,0.9507833590677168,0.019600774065144395,0.9508+-0.0196,-0.007576995849609376,0.0030175805771225166,-0.0076+-0.0030
small,0.5,3,"0,1,2",0.8250310808174487,0.01781031112746604,0.8250+-0.0178,0.7024339488450273,0.025854804719627165,0.7024+-0.0259,0.7759220312775853,0.035857928014886506,0.7759+-0.0359,0.8816888285545073,0.011468224958638529,0.8817+-0.0115,0.8580047025980342,0.008372137214289036,0.8580+-0.0084,0.03684315999348958,0.001948722858835458,0.0368+-0.0019,0.03237167358398438,0.0,0.0324+-0.0000,1.1381292510753882,0.060198378430943694,1.1381+-0.0602,0.004471486409505204,0.001948722858835458,0.0045+-0.0019
medium,0.5,3,"0,1,2",0.9004899075311101,0.0035662157823911165,0.9005+-0.0036,0.8190046994410783,0.005899239910044673,0.8190+-0.0059,0.882532849916125,0.01761284957137673,0.8825+-0.0176,0.9195732454853828,0.014055065509142537,0.9196+-0.0141,0.9117967499854014,0.0075078072267997144,0.9118+-0.0075,0.09999492095153664,0.003515249140343846,0.1000+-0.0035,0.09592259183843085,0.0,0.0959+-0.0000,1.0424542186623031,0.036646724264890414,1.0425+-0.0366,0.004072329113105788,0.003515249140343846,0.0041+-0.0035
large,0.5,3,"0,1,2",0.8864634685602216,0.003165567894972034,0.8865+-0.0032,0.7960890687900417,0.005113688844842184,0.7961+-0.0051,0.9332453518564771,0.005659765731054014,0.9332+-0.0057,0.844207998243782,0.008339799264483961,0.8442+-0.0083,0.8606105120158296,0.0062526708625046225,0.8606+-0.0063,0.25652154708309155,0.0038327820073106042,0.2565+-0.0038,0.28356103871798327,0.0,0.2836+-0.0000,0.9046431032853742,0.013516602596298489,0.9046+-0.0135,-0.027039491634891704,0.0038327820073106042,-0.0270+-0.0038
