subset,report_threshold,n_seeds,seeds_used,Dice_mean,Dice_std,Dice_mean_std,IoU_mean,IoU_std,IoU_mean_std,Precision_mean,Precision_std,Precision_mean_std,Recall_mean,Recall_std,Recall_mean_std,F2_mean,F2_std,F2_mean_std,mean_pred_area_mean,mean_pred_area_std,mean_pred_area_mean_std,mean_gt_area_mean,mean_gt_area_std,mean_gt_area_mean_std,area_ratio_mean,area_ratio_std,area_ratio_mean_std,area_diff_mean,area_diff_std,area_diff_mean_std
overall,0.5,3,"0,1,2",0.8655194503963058,0.011820392972509565,0.8655+-0.0118,0.7630482010583417,0.01825981404846041,0.7630+-0.0183,0.8247307833429837,0.03232541789606115,0.8247+-0.0323,0.9115398116473007,0.015545922897421103,0.9115+-0.0155,0.8924317231039689,0.005549793025608881,0.8924+-0.0055,0.1704064178466797,0.00959563901513151,0.1704+-0.0096,0.15395210266113282,0.0,0.1540+-0.0000,1.10687937243034,0.06232872579184846,1.1069+-0.0623,0.01645431518554687,0.00959563901513151,0.0165+-0.0096
small,0.5,3,"0,1,2",0.7195648307865102,0.034060858437538706,0.7196+-0.0341,0.5626973751566061,0.04107589606712533,0.5627+-0.0411,0.5911190148748084,0.044658661728583855,0.5911+-0.0447,0.9213916817109844,0.004735119764102675,0.9214+-0.0047,0.8281582566365275,0.019307404316325508,0.8282+-0.0193,0.05065213521321615,0.0038458970844701874,0.0507+-0.0038,0.03237167358398438,0.0,0.0324+-0.0000,1.5647050015735315,0.11880435796588945,1.5647+-0.1188,0.018280461629231765,0.0038458970844701874,0.0183+-0.0038
medium,0.5,3,"0,1,2",0.8490694113772551,0.024545321298226425,0.8491+-0.0245,0.7382485524315349,0.03687873864284549,0.7382+-0.0369,0.7723144476434377,0.041620960174582555,0.7723+-0.0416,0.9438639309450927,0.002860570374757776,0.9439+-0.0029,0.9033706905864366,0.010083760874179337,0.9034+-0.0101,0.11747029862881082,0.006720892054686776,0.1175+-0.0067,0.09592259183843085,0.0,0.0959+-0.0000,1.224636283601588,0.07006578143081699,1.2246+-0.0701,0.02154770679037997,0.006720892054686776,0.0215+-0.0067
large,0.5,3,"0,1,2",0.8835205480096462,0.007017942279027464,0.8835+-0.0070,0.7913923792320736,0.011281537475315382,0.7914+-0.0113,0.8696869080506067,0.02677415772252511,0.8697+-0.0268,0.89867441016555,0.021786658318395057,0.8987+-0.0218,0.8924432961016122,0.012457977569504588,0.8924+-0.0125,0.2933317095067626,0.015873717824808196,0.2933+-0.0159,0.28356103871798327,0.0,0.2836+-0.0000,1.0344569920056148,0.055979895322631146,1.0345+-0.0560,0.009770670788779282,0.015873717824808196,0.0098+-0.0159
