threshold,subset,n_seeds,seeds_used,Dice_mean,Dice_std,Dice_mean_std,IoU_mean,IoU_std,IoU_mean_std,Precision_mean,Precision_std,Precision_mean_std,Recall_mean,Recall_std,Recall_mean_std,F2_mean,F2_std,F2_mean_std,mean_pred_area_mean,mean_pred_area_std,mean_pred_area_mean_std,mean_gt_area_mean,mean_gt_area_std,mean_gt_area_mean_std,area_ratio_mean,area_ratio_std,area_ratio_mean_std,area_diff_mean,area_diff_std,area_diff_mean_std
0.30,overall,3,"0,1,2",0.8887408183838695,0.002574485428256427,0.8887+-0.0026,0.7997665952651085,0.004168071924583001,0.7998+-0.0042,0.8978618641254831,0.010457476748263535,0.8979+-0.0105,0.8799204049528525,0.0080130177426674,0.8799+-0.0080,0.8834136000348729,0.004831557638622099,0.8834+-0.0048,0.150898681640625,0.0030231593055088627,0.1509+-0.0030,0.15395210266113282,0.0,0.1540+-0.0000,0.9801663584362185,0.019637010842216914,0.9802+-0.0196,-0.0030534210205078274,0.0030231593055088627,-0.0031+-0.0030
0.50,overall,3,"0,1,2",0.8874881650662171,0.0023335247912324316,0.8875+-0.0023,0.7977389613258267,0.00377364698389673,0.7977+-0.0038,0.9105927545852134,0.010146407525864046,0.9106+-0.0101,0.8656473135267475,0.008795758099316512,0.8656+-0.0088,0.8742393193404299,0.005624746956813394,0.8742+-0.0056,0.14637510681152344,0.0030175805771225166,0.1464+-0.0030,0.15395210266113282,0.0,0.1540+-0.0000,0.9507833590677168,0.019600774065144395,0.9508+-0.0196,-0.007576995849609376,0.0030175805771225166,-0.0076+-0.0030
0.70,overall,3,"0,1,2",0.8840780886358828,0.0023358489962796393,0.8841+-0.0023,0.7922453429888053,0.003755881818656969,0.7922+-0.0038,0.9233480254530317,0.009345519437048819,0.9233+-0.0093,0.8481236835406384,0.0091238135323556,0.8481+-0.0091,0.8621358688189403,0.0061679177204612395,0.8621+-0.0062,0.1414285176595052,0.0028625601191728366,0.1414+-0.0029,0.15395210266113282,0.0,0.1540+-0.0000,0.9186526590304509,0.018593834600202447,0.9187+-0.0186,-0.01252358500162761,0.0028625601191728366,-0.0125+-0.0029
